workerid,proliferate.condition,order,paraphrase,rating,response,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
77,01_pilot_e02,the-all-a,a,0,,13,60430:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,13,60430:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,-2.220446049250313e-16,,14,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.42000000000000015,,14,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.58,,14,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,14,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.43999999999999995,,15,68569:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.56,,15,68569:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0,,15,68569:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,1.1102230246251563e-16,,15,68569:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,2.220446049250313e-16,,16,51293:9,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.2899999999999999,,16,51293:9,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.71,,16,51293:9,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,16,51293:9,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.7,,17,102105:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.29999999999999993,,17,102105:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,2.220446049250313e-16,,17,102105:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,17,102105:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0,,18,130644:22,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.27,,18,130644:22,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.73,,18,130644:22,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,18,130644:22,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0,,19,61578:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,-2.220446049250313e-16,,19,61578:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.43000000000000016,,19,61578:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0.57,,19,61578:4,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0,,20,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.42,,20,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0,,20,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0.58,,20,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0.62,,21,37508:7,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.3799999999999999,,21,37508:7,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0,,21,37508:7,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,21,37508:7,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0,,22,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.42999999999999994,,22,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.57,,22,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,22,control,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0,,23,103191:13,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.3599999999999999,,23,103191:13,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0,,23,103191:13,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0.64,,23,103191:13,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,the,0,,24,40349:14,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,all,0.27,,24,40349:14,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,a,0.73,,24,40349:14,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
77,01_pilot_e02,the-all-a,other,0,,24,40349:14,[],,,-1,-1,-1,,,Firefox,Mac,990,1760,2.25165,
