"","Item_ID","Sentence","HaveNeedTo","Finite","ModalPresent","QuestionType","DegreeQ","SubjectAuxInv","WhAll","MatrixNegPresent","EmbeddedNegPresent","QuantifiedSubject","QuantifiedPredicate","Wh","MatrixNegation","MatrixDoSupport","MatrixPred1","MatrixPred2","MatVerbPart","Modal","EmbeddedNegation","Verb1","Verb2","Verb3","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","DeterminerSubjPresent","DeterminerNonSubjPresent","WhNode","WhParse","Question","SentenceParse","WhPhaseType","IdentityQ"
"14","13772:186","or * to put their child into a s-, into a home setting, where they would, you know, like they, they would get, leave at eight in the morning and, and drop a two year old off in a home where you knew 0 there were going *-1 to be four other kids *t*-2 *t*-3","no","yes","no","relative","no","","","","","","","where","","","","","","","","knew","were","going","","","where","no","no",NA,"(WRB where)","where you knew 0 there were going *-1 to be four other kids *t*-2","(TOP (S (CC Or) (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB put) (NP (PRP$ their) (NN child)) (EDITED (RM (-DFL- \[)) (PP-PUT (IN into) (NP-UNF (DT a) (NN s-))) (, ,) (IP (-DFL- \+))) (PP-PUT (IN into) (NP (NP (DT a) (NN home) (NN setting)) (, ,) (RS (-DFL- \])) (SBAR (WHADVP-3 (WRB where)) (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP they)) (VP-UNF (MD would))) (, ,) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (INTJ (UH like)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP they)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP they)) (RS (-DFL- \])) (VP (MD would) (RS (-DFL- \])) (EDITED (RM (-DFL- \[)) (VP-UNF (VB get)) (, ,) (IP (-DFL- \+))) (VP (VP (VB leave) (RS (-DFL- \])) (PP-TMP (IN at) (NP (NP (CD eight)) (PP-TMP (IN in) (NP (DT the) (NN morning)))))) (EDITED (RM (-DFL- \[)) (CC and) (, ,) (IP (-DFL- \+))) (CC and) (RS (-DFL- \])) (VP (VB drop) (NP (DT a) (CD two) (NN year) (NN old)) (PRT (RP off)) (PP-LOC (IN in) (NP (NP (DT a) (NN home)) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBD knew) (SBAR (-NONE- 0) (S (NP-SBJ-1 (EX there)) (VP (VBD were) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (NP-PRD (CD four) (JJ other) (NNS kids))))))))) (ADVP-LOC (-NONE- *T*-2)))))))) (ADVP-LOC (-NONE- *T*-3)))))))))) (-DFL- E_S)))","monomorphemic","no"
"15","14171:4","what weekly, um, magazine do you look at *t*-1,","no","yes","no","root","yes","yes","","","","","","what","","","","","","","","do","look","","","","","no","no",NA,"(WDT What)","what weekly, um, magazine do you look at *t*-1,","(TOP (SBARQ (WHNP-1 (WDT What) (JJ weekly) (, ,) (INTJ (UH um)) (, ,) (NN magazine)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB look) (PP (IN at) (NP (-NONE- *T*-1))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"16","15451:74","there's a, there's a certain scene in the movie where there's, um, where they're, they're on a buffalo hunt *t*-1.","no","yes","no","relative","no","","","","","","","where","","","","","","","","'re","'re","","","a buffalo hunt","where","no","no",NA,"(WRB where)","where there's, um, where they're, they're on a buffalo hunt *t*-1","(TOP (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (EX there)) (VP (BES 's) (NP-PRD-UNF (DT a)))) (, ,) (IP (-DFL- \+))) (NP-SBJ (EX there)) (VP (BES 's) (NP-PRD (NP (DT a) (RS (-DFL- \])) (JJ certain) (NN scene)) (PP (IN in) (NP (DT the) (NN movie))) (SBAR (EDITED (RM (-DFL- \[)) (SBAR (WHADVP (WRB where)) (S (NP-SBJ (EX there)) (VP-UNF (BES 's)))) (, ,) (IP (-DFL- \+))) (INTJ (UH um)) (, ,) (WHADVP-1 (WRB where)) (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP they)) (VP-UNF (VBP 're))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP they)) (VP (VBP 're) (RS (-DFL- \])) (RS (-DFL- \])) (PP-PRD (IN on) (NP (DT a) (NN buffalo) (NN hunt))) (ADVP (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","monomorphemic",""
"17","16019:24","and i have just casually asked her what he did *t*-1 for a living.","no","yes","no","embedded","no","","","","","","","what","","","asked","","","","","did","","","","a living","","no","no",NA,"(WP what)","what he did *t*-1 for a living","(TOP (S (CC and) (NP-SBJ (PRP I)) (VP (VBP have) (ADVP-MNR (RB just) (RB casually)) (VP (VBN asked) (NP (PRP her)) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP he)) (VP (VBD did) (NP (-NONE- *T*-1)) (PP (IN for) (NP (DT a) (NN living)))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"18","16834:16","what, what do you do *t*-1?","no","yes","no","root","no","yes","","","","","","what","","","","","","","","do","do","","","","","no","no",NA,"(WP what)","what, what do you do *t*-1?","(TOP (SBARQ (EDITED (RM (-DFL- \[)) (WHNP (WP What)) (, ,) (IP (-DFL- \+))) (WHNP-1 (WP what)) (RS (-DFL- \])) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB do) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"19","19365:40","whereas, you know, if the soviet union would have, who *t*-2 knows what taking over mongolia or, or something like that, who *t*-1 is really, will we have been more just rhetoric, uh, rather than *-3 going in there officially or, you know, physically and try *-4 to, to remove them.","no","yes","no","adjunct","no","","","","","","","who","","","have","","","","","knows","","","","","","no","no",NA,"(WP who)","who *t*-2 knows what","(TOP (SBAR-ADV (IN Whereas) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SQ (SBAR-ADV (IN if) (S (NP-SBJ (DT the) (NNP Soviet) (NNP Union)) (VP (MD would) (VP (VB have) (, ,) (S (SBAR-NOM-SBJ (WHNP-2 (WP who)) (S (NP-SBJ (-NONE- *T*-2)) (VP (VBZ knows) (NP (WP what))))) (VP (VBG taking) (PRT (RP over)) (NP (NP (NP (NNP Mongolia)) (EDITED (RM (-DFL- \[)) (CC or) (, ,) (IP (-DFL- \+))) (CC or) (RS (-DFL- \])) (NP (NP (NN something)) (PP (IN like) (NP (DT that))))) (, ,) (RM (-DFL- \[)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ is) (ADJP-PRD-UNF (RB really)))))))))))) (, ,) (IP (-DFL- \+)) (RS (-DFL- \])) (MD will) (NP-SBJ-3 (PRP we)) (VP (VBP have) (VP (VBN been) (NP-PRD (NP (JJR more) (RB just) (NN rhetoric)) (, ,) (INTJ (UH uh)) (, ,) (CONJP (IN rather) (IN than)) (S-NOM (NP-SBJ-4 (-NONE- *-3)) (VP (VP (VBG going) (PP-DIR (IN in) (ADVP (EX there))) (ADVP-MNR (RB officially) (CC or) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (RB physically))) (CC and) (VP (VB try) (S (NP-SBJ (-NONE- *-4)) (EDITED (RM (-DFL- \[)) (VP-UNF (TO to)) (, ,) (IP (-DFL- \+))) (VP (TO to) (RS (-DFL- \])) (VP (VB remove) (NP (PRP them)))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"20","19512:11","nobody knows what * to do *t*-1.","no","no","no","embedded","no","","","","","","","what","","","knows","","","","","do","","","","","","no","no",NA,"(WP what)","what * to do *t*-1","(TOP (S (NP-SBJ (NN Nobody)) (VP (VBZ knows) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"21","21112:39","uh, now i, i don't know who the characters are *t*-1,","no","yes","no","embedded","no","","","yes","","","","who","n't","do","know","","","","","are","","","the characters","the characters","","yes","no",NA,"(WP who)","who the characters are *t*-1","(TOP (S (INTJ (UH Uh)) (, ,) (ADVP-TMP (RB now)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (DT the) (NNS characters)) (VP (VBP are) (NP-PRD (-NONE- *T*-1))))))) (, ,) (-DFL- E_S)))","monomorphemic","yes"
"22","21535:98","and i think 0 they're thinking about that exact thing, about the idea that if the show lets them, uh, get together, then you lose part of what the show's all about *t*-1.","no","yes","no","subject","no","","","","","","all","what","","","think","","","","","'s","","","the show","the show","what","yes","no",NA,"(WP what)","what the show's all about *t*-1","(TOP (S (CC and) (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (PRP they)) (VP (VBP 're) (VP (VBG thinking) (PP (PP (IN about) (NP (DT that) (JJ exact) (NN thing))) (, ,) (PP (IN about) (NP (DT the) (NN idea) (SBAR (WDT that) (S (SBAR-ADV (IN if) (S (NP-SBJ (DT the) (NN show)) (VP (VBZ lets) (S (NP-SBJ (PRP them)) (, ,) (INTJ (UH uh)) (, ,) (VP (VB get) (ADVP (RB together))))))) (, ,) (ADVP (RB then)) (NP-SBJ (PRP you)) (VP (VBP lose) (NP (NP (NN part)) (PP (IN of) (SBAR-NOM (WHNP-1 (WP what)) (S (NP-SBJ (DT the) (NN show)) (VP (BES 's) (ADVP (DT all)) (PP-PRD (IN about) (NP (-NONE- *T*-1))))))))))))))))))) (. .) (-DFL- E_S)))","monomorphemic",""
"23","21740:5","when i lived in washington, uh, washington, d c *t*-1, i never went to the washington memorial,","no","yes","no","embadjunct","no","","","","","","","when","","","","","","","","lived","","","","","","no","no",NA,"(WRB when)","when i lived in washington, uh, washington, d c *t*-1","(TOP (S (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBD lived) (PP-LOC (IN in) (EDITED (RM (-DFL- \[)) (NP (NNP Washington)) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP (NP (NNP Washington)) (, ,) (NP (NNP D) (NNP C)))) (ADVP-TMP (-NONE- *T*-1))))) (, ,) (RS (-DFL- \])) (NP-SBJ (PRP I)) (ADVP-TMP (RB never)) (VP (VBD went) (PP-DIR (IN to) (NP (DT the) (NNP Washington) (NNP Memorial)))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"24","22296:16","i don't know what the answer *ich*-2 is *t*-1 to that problem, you know.","no","yes","no","embedded","no","","","yes","","","","what","n't","do","know","","","","","is","","","the answer *ich*-2","the answer *ich*-2","","yes","no",NA,"(WDT what)","what the answer *ich*-2 is *t*-1 to that problem","(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WDT what)) (S (NP-SBJ (NP (DT the) (NN answer)) (PP (-NONE- *ICH*-2))) (VP (VBZ is) (NP-PRD (-NONE- *T*-1)) (PP-2 (IN to) (NP (DT that) (NN problem)))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (. .) (-DFL- E_S)))","monomorphemic",""
"25","23491:40","and he had his pockets full of stuff, you know, when he was caught *-1 *t*-2","no","yes","no","embadjunct","no","","","","","","","when","","","had","","","","","was","caught","","","","","no","no",NA,"(WRB when)","when he was caught *-1 *t*-2","(TOP (S (CC and) (NP-SBJ (PRP he)) (VP (VBD had) (S (NP-SBJ (PRP$ his) (NNS pockets)) (ADJP-PRD (JJ full) (PP (IN of) (NP (NN stuff))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR-TMP (WHADVP-2 (WRB when)) (S (NP-SBJ-1 (PRP he)) (VP (VBD was) (VP (VBN caught) (NP (-NONE- *-1)) (ADVP-TMP (-NONE- *T*-2))))))) (-DFL- E_S)))","monomorphemic","no"
"26","23593:99","uh, i guess 0 the lord started out with, we'll treat you fa-, i'll treat you fairly there as long as you do what i say *t*-1.","no","yes","no","embedded","no","","","","","","","what","","do","do","","started","","","say","","","","","what","no","no",NA,"(WP what)","what i say *t*-1","(TOP (S (INTJ (UH Uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP guess) (SBAR (-NONE- 0) (S (NP-SBJ (DT the) (NNP Lord)) (VP (VBD started) (PRT (RP out)) (PP (IN with) (, ,) (S-SEZ (EDITED (RM (-DFL- \[)) (S-SEZ (NP-SBJ (PRP we)) (VP (MD 'll) (VP (VB treat) (NP (PRP you)) (ADVP-MNR-UNF (RB fa-))))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (VP (MD 'll) (VP (VB treat) (NP (PRP you)) (ADVP-MNR (RB fairly)) (RS (-DFL- \])) (ADVP (RB there)) (ADVP (ADVP (RB as) (RB long)) (SBAR (IN as) (S (NP-SBJ (PRP you)) (VP (VBP do) (SBAR-NOM (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP say) (NP (-NONE- *T*-1))))))))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
