Item_ID	Sentence	ModalPresent	Finite	QuestionType	DegreeQ
937:88	well, i guess, 0 although, i, well, that's a good point where you said that how does one define what invasion of privacy is *t*-1 *t*-3 *t*-2, because, uh, if that's the case of a tree falling in the forest	no	yes	nom	no
960:15	i'm not sure why.	no	yes		no
984:32	i was just about *-1 to write a letter when i heard 0 they canceled it *t*-2.	no	yes	emb	no
986:20	that would be an example where my sense of threat would be high *t*-1 because i would find that there be, cou-, a good possibly that their facts were, were fantasy.	no	yes	rc	no
1008:13	and the person who *t*-1 had *?* takes unsolicited phones calls and pays money	no	yes	rc	no
1020:68	and, um, one of the problems with the lotus data base was, um, that it was uncontrolled access to who *t*-1 would have that information.	no	yes	nom	no
1028:43	and they wouldn't bother *-1 to check that carefully anyway to someone who *t*-2's offering, you know, full cash price, for it.	no	yes	rc	no
1032:41	i mean, you know, you can't tell it, what a company really has *-1 to do *t*-2 with it	no	yes	nom	no
1033:62	and there's something rather ominous about * having virtually anyone, any hacker being able *-1 to know what your income is *t*-2, what your spending habits are *t*-3,	no	yes	emb	no
1033:80	and there's something rather ominous about * having virtually anyone, any hacker being able *-1 to know what your income is *t*-2, what your spending habits are *t*-3,	no	yes	emb	no
1035:25	and suddenly and then what *t*-1 started as an invasion of privacy can be an invasion of your actual home.	no	yes	nom	no
1042:44	so, maybe that is a, a little bit of what privacy is *t*-1.	no	yes	nom	no
1049:139	i also thought about it, was of, uh, *-1 waiting *-2 to talk to you that, another thing that *t*-4 occurred to me is 0 there is not so much invasion of my privacy because i know how *-5 to behave *t*-6 such that there isn't *?*.	no	yes	emb	no
1064:40	loneliness *ich*-2 is the closest 0 you can come *t*-1, which *t*-3 is really quite different.	no	yes	emb	no
1095:16	whereas in this country where everyone respects the closed doors very much *t*-1, if you go out and then act like the lunatic you, you violate the, uh, the norms of social, of, um, public behavior.	no	yes	adj	no
1097:91	and they start *-1 asking questions and in the sense are invite-, invade, invading your privacy although, if you know what the social norms are *t*-2, you know, quote unquote, you asked for it.	no	yes	emb	no
1102:16	and which *t*-1 isn't of, always the case in all cultures,	no	yes		no
1107:75	and, and that it *exp*-2's fascinating * to, to think a lot of someone who *t*-1 doesn't know how *-3 to say private *t*-4.	no	yes	rc	no
1107:91	and, and that it *exp*-2's fascinating * to, to think a lot of someone who *t*-1 doesn't know how *-3 to say private *t*-4.	no	yes	rc	no
1112:41	well, i mean, i, i wonder how people have sex *t*-1, and things like that,	no	yes	emb	no
1121:64	for al-, of the time 0 i've spent *t*-1 there, i still don't quite understand how certain things that i assume 0 *t*-2 and require privacy and require not just that you be alone but actually that you have a sense of privacy *t*-3.	no	yes	emb	no
1126:22	but for me a lot of what i do *t*-1 requires a sense that there's this invisible barrier around me which people wil-, will respect *t*-2.	no	yes	nom	no
1126:68	but for me a lot of what i do *t*-1 requires a sense that there's this invisible barrier around me which people wil-, will respect *t*-2.	no	yes	rc	no
1130:56	and if that's gone, um, i, i really don't know how *-1 to live *t*-2 very well,	no	yes	emb	no
1131:38	and i wonder, i really do wonder how people do that *t*-1.	no	yes	emb	no
1134:88	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded *-1 on a day-to-day basis or either on a growing frequency *t*-2?	no	yes	rc	no
1136:91	all the class-, the other classic examples, the jehovah's witness or, or mormons or someone knocking at the front door, um, which *t*-1 is more intrusive because i have *-2 to really tell someone *-3 to go away.	no	yes	rc	no
1138:15	they now see what i look like *t*-1, what i live like *t*-2	no	yes	emb	no
1138:34	they now see what i look like *t*-1, what i live like *t*-2	no	yes	emb	no
1152:10	and normally when they call *t*-1, you're either in the shower,	no	yes	adj	no
1187:30	so, and i hate that when i've got a whole bunch of messages *t*-1	no	yes	emb	no
1200:37	and i think 0 a law should be passed *-1 to where any of these people,	no	yes	exclam	no
1226:12	so, usually what i do *t*-1 is 0 i'll call the apartment manager and tell them hey, there's people coming around, you know,	no	yes	nom	no
1233:16	it wasn't even what i would consider *t*-1, you know, family hours,	no	yes	nom	no
1240:70	now, i agree with their right * to, uh, pursue their religion of choice, in that, whatever manner 0 they want *-1 to *?* *t*-2,	no	yes	rc	no
1261:17	now the part about where you said 0 the apartment complex puts up signs that *t*-1 says no soliciting *t*-2,	no	yes		no
1265:17	i don't know how much clearer it can be *t*-1,	no	yes	emb	yes
1311:16	i can't remember what it was *t*-1,	no	yes	emb	no
1390:27	i know because, i know 0 when my mother was a, you know, going into the work force *t*-1 there wasn't very many opportunities for her, i guess,	no	yes	emb	no
1396:47	i think 0 no-, now, you go to work when they're six weeks old, you know *t*-1,	no	yes	emb	no
1447:7	not what color you are *t*-1, how old you are *t*-2, what you're male or female.	no	yes	frag	no
1447:25	not what color you are *t*-1, how old you are *t*-2, what you're male or female.	no	yes	frag	yes
1447:43	not what color you are *t*-1, how old you are *t*-2, what you're male or female.	no	yes	frag	no
1486:28	as a matter of fact, that's what i'm doing *t*-1.	no	yes	nom	no
1497:75	or, a lot of women 0 i know now *t*-1 and my, uh, one of my supervisors, when she went on l o a *-2 to have her baby *t*-3, we hooked up, uh, uh, a terminal at her house	no	yes	adj	no
1586:15	you know, when that subject comes up *t*-1 they can say yes,	no	yes	adj	no
1601:9	or, what i've done *t*-1 is * found like doctors' and dentists' office with extended hours.	no	yes	nom	no
1609:16	i don't know how many times i've done that *t*-1 *-2 to do something, post office or the bank or any kind of errand,	no	yes	emb	yes
1639:33	i think 0 there is still some discrimination there where as, you know, men and women work in the same job *t*-1,	no	yes	rc	no
1677:49	what, now, uh, what particularly, particularly what kind of music do you like *t*-1?	no	yes	root	no
1681:53	so, i, i tend *-1 to be one of those people who *t*-2 switches stations a lot because i don't like commercials.	no	yes	rc	no
1721:4	how do you feel *t*-1 about rap music?	no	yes	root	no
1730:60	the one thing 0 i do object to *t*-1 about rap music is, is when it becomes militant *t*-2, or, if it's, uh, violence oriented.	no	yes	emb	no
1741:4	when it was really just starting *t*-1.	no	yes	adj	no
1745:5	when it was just starting *t*-1, i heard what *t*-2 was called *-3 talking blues, which *t*-4 actually is rap.	no	yes	adj	no
1745:33	when it was just starting *t*-1, i heard what *t*-2 was called *-3 talking blues, which *t*-4 actually is rap.	no	yes	emb	no
1745:59	when it was just starting *t*-1, i heard what *t*-2 was called *-3 talking blues, which *t*-4 actually is rap.	no	yes	rc	no
1772:44	and yet, i, i have a much younger sister who *t*-1 listens to a lot of rap music	no	yes	rc	no
1773:39	and, uh, she thinks 0 it *exp*-3's pretty funny how often i know all of the words to songs that she's listening to *t*-1 *t*-2,	no	yes	emb	yes
1792:73	i guess 0 there was even a, a bit of ruckus caused * by the m c hammer, who *t*-1's really, you know,	no	yes	rc	no
1803:16	i can't remember who the artist was *t*-1 on that.	no	yes	emb	no
1850:10	and then when you hear the cover *t*-1 it's like, you know, god, what are they doing *t*-2.	no	yes	adj	no
1850:55	and then when you hear the cover *t*-1 it's like, you know, god, what are they doing *t*-2.	no	yes	root	no
1872:16	but you know, whatever *t*-1 became of peter frampton.	no	yes	root	no
1877:36	i remember, 0 i saw him in a concert, when i was,	no	yes	emb	no
1886:18	i think that probably what *t*-1 did it for him was the fact that he was a good stage performer.	no	yes	nom	no
1895:25	hundreds of thousands of people is what it seemed like *t*-1.	no	yes	nom	no
1915:40	and i'm like, you know, you don't know what you're talking about *t*-1.	no	yes	emb	no
1931:26	i guess 0 our age is showing when, we, we think that *t*-1.	no	yes	emb	no
1939:81	i saw some promise, you know, with, with a lot of the new wave, when it, when it came out, uh, back in the mid and early eighties *t*-1.	no	yes	emb	no
1946:71	i mean, i like, you know, things like *-1 to hear, you know, what they call *t*-2 world music. which *t*-3 is, you know, * using all these natural forms of music	no	yes	rc	no
1946:94	i mean, i like, you know, things like *-1 to hear, you know, what they call *t*-2 world music. which *t*-3 is, you know, * using all these natural forms of music	no	yes	rc	no
1959:21	but, what, what paul simon's doing *t*-1, i think 0 *t*-5 is, is, is great because he's, you know i think, i think that using, i guess 0 what they call *t*-2 it is *rnr*-3 eclectic, you know. *-4 drawing from a lot of different sources and making, you know, a synthesis of a new type of music.	no	yes	nom	no
1965:4	what do you mean *t*-1 by world music?	no	yes	root	no
1968:54	a lot of the, a lot of where they, where they make music that they adapt *t*-1 to a, to another kind of, to another type of listener *t*-2.	no	yes	nom	no
1977:12	and, then when they hear it *t*-1, it, it's a really, it's another form of music,	no	yes	adj	no
2004:15	i mean, when you listen to it *t*-1, it's um, uh,	no	yes	adj	no
2027:30	and then he's playing with robbie shoncar, who *t*-1's a very good,	no	yes	rc	no
2042:20	but, i mean, when i heard his album *t*-1, i heard it and it was just incredible.	no	yes	adj	no
2066:82	and i made a lotus spreadsheet and went through the year *-2 using all of our, our checkbook *-3 to figure out what we spent *t*-1 each time and whether we were over or under for each month	no	yes	emb	no
2067:19	and then basically since then what i've done *t*-1 is, is * keep track of it through the checkbook	no	yes	nom	no
2068:70	so that based on whatever we've got *t*-1 coming in, the check coming in, then how much i'm spending *t*-2 each half of the month and then * trying *-3 to also spe-,	no	yes	nom	yes
2084:4	what do you all do *t*-1?	no	yes	root	no
2086:47	uh, we've, we've, uh, taken how much we have *t*-2, you know, write down how much we have *t*-1 coming in each month	no	yes	nom	yes
2086:82	uh, we've, we've, uh, taken how much we have *t*-2, you know, write down how much we have *t*-1 coming in each month	no	yes	nom	yes
2088:38	at the beginning of the year we sat down and determined how much we could spend *t*-1.	no	yes	emb	yes
2092:46	and at the end of the month we tally it up *-1 to see how close we, you know	no	yes	emb	yes
2153:4	what are you all trying *-1 to do *t*-2 long term.	no	yes	root	no
2166:8	mostly what we're doing, we've worked, we've done *t*-2 the, uh, coda account with t i where they, we put in so much a month *t*-1,	no	yes	nom	no
2166:92	mostly what we're doing, we've worked, we've done *t*-2 the, uh, coda account with t i where they, we put in so much a month *t*-1,	no	yes	rc	no
2172:11	that's what we're doing *t*-1.	no	yes	nom	no
2177:5	when i retired from there, or left *t*-1, i took the money 0 i that i had *t*-2 in mine and put it in an i r a	no	yes	adj	no
2187:8	when ever we get enough saved * *t*-1 we stick it in a c d for a while	no	yes	adj	no
2194:80	and their agent did a long term analysis based on salary and, uh, what we were pla-, what, what our, uh, goals were *t*-1 on a long term budget in terms of retirement, kids college, * paying off the house, * buying a different house, um, special thing, * buying land and building our own house	no	yes	rc	no
2198:36	and they did an analysis *ich*-4 for us based on what we were putting *t*-1 in and the time frame that we wanted *-2 to look at *t*-3, and then gave us a good idea back, you know, some good information *ich*-6 back on whether or not we were going *-5 to achieve those goals, and, or not, and what we needed *-7 to do *t*-8 so that we could achieve them and the money 0 we could put *t*-9 in at what time.	no	yes	nom	no
2198:215	and they did an analysis *ich*-4 for us based on what we were putting *t*-1 in and the time frame that we wanted *-2 to look at *t*-3, and then gave us a good idea back, you know, some good information *ich*-6 back on whether or not we were going *-5 to achieve those goals, and, or not, and what we needed *-7 to do *t*-8 so that we could achieve them and the money 0 we could put *t*-9 in at what time.	no	yes	nom	no
2198:287	and they did an analysis *ich*-4 for us based on what we were putting *t*-1 in and the time frame that we wanted *-2 to look at *t*-3, and then gave us a good idea back, you know, some good information *ich*-6 back on whether or not we were going *-5 to achieve those goals, and, or not, and what we needed *-7 to do *t*-8 so that we could achieve them and the money 0 we could put *t*-9 in at what time.	no	yes	rc	no
2212:50	and he's set up, uh, you know, determined how much we need *-1 to, you know, we need *t*-3 if something were *-2 to happen.	no	yes	emb	yes
2215:139	that, that's the other financial thing 0 i guess that we've done *t*-1 is with our life insurance is, since i'm at home now is, is * figuring out, uh, what we would need *t*-2 if something happened to my husband, or what he would need *t*-3 if something happened to me,	no	yes	emb	no
2215:178	that, that's the other financial thing 0 i guess that we've done *t*-1 is with our life insurance is, since i'm at home now is, is * figuring out, uh, what we would need *t*-2 if something happened to my husband, or what he would need *t*-3 if something happened to me,	no	yes	emb	no
2224:28	so you know, i don't know what he would do *t*-1.	no	yes	emb	no
2249:10	uh, what kind of books do you enjoy *-1 reading *t*-2?	no	yes	root	no
2253:42	um, i get a charge out of, uh, texas highway, which *t*-1 is, uh, very colorful,	no	yes	rc	no
2312:22	it talks about, uh, who the customer is *t*-1 and * being customer oriented, uh, which *t*-2 falls in line with the t i culture here at texas instruments.	no	yes	nom	no
2312:60	it talks about, uh, who the customer is *t*-1 and * being customer oriented, uh, which *t*-2 falls in line with the t i culture here at texas instruments.	no	yes	rc	no
2316:69	uh, one of its great slogans is 0 if you're not serving the customer, you better be serving someone who *t*-1 is *?*.	no	yes	rc	no
2320:44	uh, so that's all in self improvement * to stay focused on who the customer is *t*-1	no	yes	nom	no
2326:211	um, every now and then i'm loaned *-3 a tape 0 i can stick *t*-1 in the, uh, in the car cassette set on the way home * to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which *t*-2 all, you know, betters yourself.	no	yes	rc	no
2344:34	but, uh, they would be things on like how * to be successful *t*-1 and sort of * talking to yourself. you know ge-, getting your, yourself in gear * to, uh, sort of pull yourself up by your boot straps and do what you really want *-2 to do *t*-3. convincing you that you need *-4 to get on with it.	no	yes		no
2344:172	but, uh, they would be things on like how * to be successful *t*-1 and sort of * talking to yourself. you know ge-, getting your, yourself in gear * to, uh, sort of pull yourself up by your boot straps and do what you really want *-2 to do *t*-3. convincing you that you need *-4 to get on with it.	no	yes	nom	no
2350:37	how about items like, um, the one minute manager, which *t*-1 used *-2 to be a big,	no	yes	rc	no
2359:51	um, our supervisor, uh, subtly bought all of us a book called * what every supervisor should know *t*-1. by a man, man named * doctor bittel, b i t t e l	no	yes	emb	no
2364:61	and the very last chapter, and i haven't figured out why that one was last *t*-2, is how * to manage engineers *t*-1.	no	yes	emb	no
2392:92	well i guess 0 i also have been reading, uh, a lot of things on, uh, quality improvement and that type of thing because that's what i'm involved in *t*-1 a lot at work.	no	yes	nom	no
2405:130	yeah, we, we have, i think 0 we, we name drop it a little too much and, and don't fully understand what, what it is *t*-1 0 we're saying.	no	yes	nom	no
2437:7	but where i am *t*-1 we have a like an extremely lax dress policy at work	no	yes	adj	no
2446:39	we want *-1 to go ahead and let them do what ever they want *t*-2.	no	yes	nom	no
2451:7	and where we are *t*-1 now, what we're doing *t*-2 is some very big lawsuits that *t*-3 happen *-4 to have a heck of a lot of boxes of documents.	no	yes	adj	no
2451:26	and where we are *t*-1 now, what we're doing *t*-2 is some very big lawsuits that *t*-3 happen *-4 to have a heck of a lot of boxes of documents.	no	yes	nom	no
2457:44	and i can't see *-1 getting dressed up and wearing heels and stuff when you have *-2 to carry, you know, boxes of documents around *t*-3,	no	yes	emb	no
2459:38	but if we're going *-1 to have a meeting, where we're having the attorneys *ich*-2 come in, or people from, uh, other party's attorneys and stuff *t*-3, then i normally dress up.	no	yes	rc	no
2468:27	i know, you know, 0 where i am *t*-1 we work a lot with the customers	no	yes	emb	no
2488:5	when, uh, i was at t i *t*-1 the first year or so, we were sent out to our record retention facility *-2 to look through two thousand boxes.	no	yes	adj	no
2511:25	and, you know, this area where record retention is *t*-1, there's only a few people that *t*-2 work there,	no	yes	rc	no
2512:34	and he, sho-, he knew who *t*-1 worked there,	no	yes	emb	no
2515:18	and he just said, who's your supervisor *t*-1.	no	yes	exclam	no
2541:17	i don't care what else you call them *t*-1, you know,	no	yes	nom	no
2566:82	the management doesn't ever seem *-1 to want *-2 to take an, cut off, you know, that no, this is wear we're going *-3 to draw the line *t*-4.	no	yes	emb	no
2594:16	i don't care what you say *t*-1,	no	yes	nom	no
2606:17	i had a friend who *t*-1 worked there for a year or so	no	yes	rc	no
2623:5	when i was looking at her materials *t*-1 when she first started, you know, *t*-2 she had her benefits package and all that kind of stuff.	no	yes	adj	no
2623:30	when i was looking at her materials *t*-1 when she first started, you know, *t*-2 she had her benefits package and all that kind of stuff.	no	yes	adj	no
2646:18	but i am more productive when i'm in pants *t*-1.	no	yes	emb	no
2651:30	i get things done * faster, than when i'm in a dress and heels *t*-1, you know,	no	yes	adj	no
2710:42	and then there's another one who *t*-1's, who *t*-2's a little younger and a little more yuppish	no	yes	rc	no
2730:59	but, i think 0 a lot of times it's, it's mainly who they're going *-1 to meet with *t*-2,	no	yes	emb	no
2731:78	or they're meeting with people that they know 0 *t*-2 is going *-3 to be dressed *-4 that way then that's how they are *t*-1.	no	yes		no
2735:140	if they're just going *-1 to be meeting with t i --ers like * to talk about a patent kind of thing and the, they're engineers that they're talking too *t*-2, they dress kind of like how the engineers are dressed *t*-3	no	yes		no
2743:15	if when they're meeting with the engineers who they know 0 *t*-1 are going *-4 to be dressed down *t*-5, if they come in, in, you know, a six hundred dollar three piece suit, it's going *-2 to make the people 0 they're meeting with *t*-3 feel very uncomfortable, you know,	no	yes	adj	no
2743:38	if when they're meeting with the engineers who they know 0 *t*-1 are going *-4 to be dressed down *t*-5, if they come in, in, you know, a six hundred dollar three piece suit, it's going *-2 to make the people 0 they're meeting with *t*-3 feel very uncomfortable, you know,	no	yes	rc	no
2751:12	i wonder what kind of money does he make *t*-1,	no	yes	emb	no
2786:4	how has it been *t*-1 this week for you?	no	yes	root	no
2798:38	we have, we have gone through, what *t*-1 might be called *-2 the four seasons, uh, in the last week.	no	yes	nom	no
2805:37	well, i don't even want *-1 to tell you what ours has been like *t*-2 then.	no	yes	emb	no
2846:34	the blue flu, or the white collar flu, depending on where you work *t*-1, i guess.	no	yes	nom	no
2923:19	rarely a day went by when the wind was less than fifteen or twenty miles an hour *t*-1. summer and winter,	no	yes	emb	no
2936:24	oh, rea-, where *ich*-2 did you go to school in indiana *t*-1?	no	yes	root	no
3001:46	so, i had *-1 to call jack godfrey today *-2 to ask him what it was *t*-3, because i, i had *-4 to abort the call last evening because i couldn't get on the line.	no	yes	nom	no
3006:16	i'm not sure how long we're supposed *-1 to talk *t*-2.	no	yes		yes
3045:29	i, i was wondering why we had somebody from maryland though *t*-1.	no	yes	emb	no
3057:42	and, i know the reason why this is, why the, uh, this is being gathered *-1 *t*-2 and the program and so forth,	no	yes	rc	no
3066:21	i know 0 that's what we're supposed *-1 to do *t*-2.	no	yes	nom	no
3075:101	and i always thought 0 it *exp*-3's not necessary * to measure your time, just to go ahead and enjoy the conversation, and, and, end it when * needed *-1 *t*-2.	no	yes	emb	no
3115:29	i have a, uh, uh, friend who *t*-1 is a planner. uh, a city planner.	no	yes	rc	no
3143:5	what we do *t*-1, we have a weather station, that we get all of this information, you know, temperature, wind speed, wind direction *t*-2,	no	yes		no
3157:40	and, um, do you like classic rock, or modern rock, or which kind?	no	yes	root	no
3159:92	oh, i guess the stuff that *t*-1 was done *-2 more in the seventies, because that's, well, no that's really when i grew up *t*-3,	no	yes	rc	no
3164:17	so that's really what i like *t*-1 better, is that kind of music,	no	yes	nom	no
3194:24	i went to their concert last year when they were here *t*-1.	no	yes	emb	no
3196:36	oh, that's when, that's when they took, toured *t*-1.	no	yes	adj	no
3208:19	and i wasn't sure what kind of music.	no	yes		no
3215:17	what, what kind of heavy metal are we talking about *t*-1?	no	yes	root	no
3218:34	we're talking about what they, what they call *t*-1 hard rock.	no	yes	nom	no
3251:42	i mean, i, i think, 0 when you say heavy metal *t*-1, i'm, i'm thinking about like cinderella, you know.	no	yes	emb	no
3261:22	it's like brash metal, which all 0 they do *t*-1 is 0 like, they have this guitar and they just bang at the guitar *t*-2,	no	yes	rc	no
3268:9	and, what *t*-1 happens is like, oh, everybody gets like totally into the music	no	yes	nom	no
3282:7	and what you do *t*-1 is, 0 you also try *-2 to get up on stage and jump down on top of all these other people.	no	yes	nom	no
3291:34	but, that's, that's what they do *t*-1.	no	yes		no
3292:30	that's, that's what some people call like *t*-1 really heavy metal.	no	yes	nom	no
3317:10	is that what you said *t*-1?	no	yes	emb	no
3332:19	because queen was real popular when i was growing up *t*-1.	no	yes	emb	no
3372:49	but i, i wouldn't buy it. because see, what *t*-1 happens is, the old, see whe-,	no	yes	nom	no
3384:58	the, the new stuff's kind of more like, today's rock and roll, which i, don't really care for *t*-1 today's rock and roll too much.	no	yes	rc	no
3399:26	and, and, then what *t*-1 happened was that phil collins said, hey i can make money, a lot of money *-2 doing this,	no	yes	subj	no
3417:63	and now you're singing all this stuff that, *t*-3 doesn't matter what you, what you sing *t*-2 or what you record *t*-1,	no	yes	nom	no
3417:82	and now you're singing all this stuff that, *t*-3 doesn't matter what you, what you sing *t*-2 or what you record *t*-1,	no	yes	nom	no
3419:37	and so, that's, that's what *t*-1 gets me mad.	no	yes	nom	no
3431:14	i saw it when it opened *t*-1.	no	yes	emb	no
3477:32	i, i never found out what a lot of the seventies music had *t*-1 too.	no	yes	nom	no
3525:27	so, so that's what i mean *t*-1,	no	yes	nom	no
3540:21	the seventies i don't know what they're called *-1 *t*-2, you know,	no	yes	emb	no
3562:4	what is it *t*-1	no	yes	root	no
3571:65	well, from now on we're going *-1 to go from the, from nineteen sixty-nine when they took the first step on the moon *t*-2, to nineteen eighties.	no	yes	rc	no
3573:4	what *t*-1 happened in the middle?	no	yes	root	no
3584:34	and, that's, that's why i guess, everybody,	no	yes		no
3609:19	uh what, what are you doing *t*-1?	no	yes	root	no
3667:24	and, uh, you know, whenever we, he, my husband has time off or something *t*-1, we take them to the zoo,	no	yes	adj	no
3692:178	we have, we try *-2 to spend like monday nights, we call it family home evening, and, have our kids, uh, you know, have little lessons with them, and, you know, just see, count, see how things are going *t*-3 in our family and, you know, teach them about their grandparents or something like that. bring out pictures of them so they get *-4 to know them	no	yes	emb	no
3720:36	that's wha-, yeah, that's what we mostly do *t*-1, pretty simple things.	no	yes	nom	no
3728:41	she, she's really getting to the age where she's playing, and likes *-1 to go places *t*-2.	no	yes	rc	no
3778:37	i, is, i'm not sure which one we went into *t*-1,	no	yes		no
3779:29	it was about a year or so ago, when we went *t*-1.	no	yes	emb	no
3796:4	where's that *t*-1.	no	yes	exclam	no
3903:60	but i feel almost ashamed *-1 to say that to anybody now because i have never met anybody who *t*-2 likes it.	no	yes	rc	no
3926:10	is that what you're referring to *t*-1?	no	yes	nom	no
3939:21	well that's the reason why i like both of those programs *t*-1 is because they're kind of based on books.	no	yes	rc	no
